序号,视频标识,源文案路径,标题主题,选题痛点,钩子类别,前3秒功能,前8秒路径,开头表层类型,开头功能,主情绪按钮,共鸣触发点,语言锋利来源,答案缺口或收益,正文首次兑现,句式骨架与原话,前30秒承接,核心主张,论证链,情绪路线,语言节奏,段落呼吸,转折与连接方式,排比功能与数量,结尾功能,行动CTA,可迁移能力,素材记录ID,素材类型摘要,表层素材调用提示,证据定位
1,01_提升自己_#毕业生,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/01_提升自己_#毕业生.md,原子习惯与改变人生,想变好但尚未真正下决心,反向筛选+潜能召唤,先否定短刺激预期,无音乐/无多巴胺→一本能改变人生的书→未决心者可离开→留下者被定义为想改变的人,反差声明+筛选句,用退出许可制造身份承诺,自责到被召唤,知道自己不够好却迟迟不行动,反差、资格筛选、人生级收益,留下就获得实现目标的习惯系统,P2：书名与作者背书后进入六点精华,{没有短期刺激}，但这里有{长期收益}；若你还没准备好{改变}可以离开，等你真的想{潜能}再回来。原话：这个视频没有音乐……如果视频前的你还没有下定决心想要变得更好，那么你们可以先划走。,用『剩下的观众』完成共同体归属，再给书名、名人和销量背书,目标靠系统、重复、环境与耐受无聊实现,书籍权威→六个习惯机制→运动/学习场景→总结,被排除焦虑→被选中→获得可执行感,长解释句后接短判断；编号推进,一个观点约2—4句，例子随后落地,先反转预期，再用『那么现在』『第一个点』推进,六点编号用于完整知识地图,总结六点并推荐原书,读原书、关注后续讲书,用筛选而非恳求，让愿意改变者主动留下,omel.material.01_提升自己_-毕业生,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002书籍与人物；P003起六点
2,02_Diary_of_a,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/02_Diary_of_a.md,成功迷茫与五桶模型,努力却看不见成功迹象,高共情诊断+认知颠覆,直接命名迷茫,努力/放松都没错→仍无成功迹象→看完改变现状→颠覆成功认知,共情陈述+承诺,把模糊挫败具体化并承诺解释,迷茫到清晰,努力与放松都做了却没有进展,细节共情、现状反差、颠覆承诺,获得成功路径与心理韧性方法,P2：先交代硬核书籍，再在P3给出五桶顺序,我知道你现在对{目标}很迷茫；你该{努力}却仍{无迹象}；看完会改变{现状/认知}。,以『内容较长且硬核、没自控可回来』再次筛选，随后书籍背书,认知是成功链条的起点，纪律、正视问题与管理失败让人前进,五桶顺序→心理韧性训练→鸵鸟效应→失败是过程,迷茫→被理解→获得路径→敢于行动,陪伴式长句，关键点用短句落槌,每点：概念→日常例子→动作→一句回收,『不用慌』『答案就是』『要记住』承担转场,四点编号，各点有独立解释,温和收束，允许放松,反复听、把觉悟融入行动,从具体失败感进入，不从书名或泛问题进入,omel.material.02_Diary_of_a,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002书籍承接；P003首个五桶兑现
3,03_Focus_on_W,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/03_Focus_on_W.md,聚焦重要之事,不知追求什么、消磨时间,反向筛选+稀缺知识机会,允许继续划走,错过改变人生机会→没下决心者以后再看→工具书王者→已提炼精华,反向命令+权威比较,先制造错失感，再把内容抬成稀缺资源,错失焦虑到掌控,没有目标、把时间耗掉,损失、夸张对比、资格筛选,获得70条法则中的有效精华,P2：书名与70条法则，P3直接兑现『迷茫时追求知识』,{继续划走}，你只会错过{长期机会}；若你还没准备好{改变}，以后再来；我已替你筛出{精华}。,用『放松身体』『超级充能』建立听完的仪式感，进入第一法则,没有目标时先吸收知识；时间不是用来消磨的；价值来自不可被夺走的能力,知识→时间观→不可夺走的能力→具体选择,错失感→珍惜→被充能→行动,强判断开头，之后以长解释和短结论交替,每条法则一段，概念后有生活翻译,『第一』『第二』『要记住』实现显性导航,多点编号服务书籍法则压缩,书籍推荐+创作场景更新,购买阅读、继续关注,用『退出』代替『留下』，把观看变成自我选择,omel.material.03_Focus_on_W,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002书籍与精华承诺；P003首点
4,04_The_Pathle,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/04_The_Pathle.md,无路之路与人生选择,迷茫、被设计的人生、害怕后悔,终局损失+谜面好奇,先给少走多年弯路与老后无憾,长期遗憾→长视频筛选→哲学谜面→解释被设计人生并承诺脱离束缚,未来投射+谜语,用几十年后的自己制造代价，再抛一条未解释的反常识句,焦虑到自由感,当下不满意、找不到路、人生被推着走,终局代价、反常识谜面、自由/束缚对照,理解迷茫的结构并得到选择原则,P2：『看不到任何出路的路才是人生道路』解释前置问题，P3交代书籍,{内容}能让你少走{年数}弯路，甚至避免{终局遗憾}；先想{反常识命题}。,从谜面转为『你为什么被禁锢』，再给书名和论证资格,最好的路径不总是既定路线；要识别社会脚本并主动选择,后悔预演→无路之路定义→社会脚本→个人选择,焦虑→好奇→被松绑→自主感,一句重锤后补长解释,抽象命题→生活困境→书中原则→选择动作,『先问个问题』『如果…我会…』衔接,少量对照排比，服务自由/束缚反差,回到不后悔与主动选择,看完、审视默认路径,以未来代价和哲学问题抓人，承诺必须能被正文解释,omel.material.04_The_Pathle,cases_people、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002谜面；P003书籍
5,05_The_War_of,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/05_The_War_of.md,阻力与拖延,明知有事做却停不下刷手机,行为矛盾+隐形敌人命名,大拇指停不下来,知道有意义的事→仍不断下滑→平均只看几秒却不想放下→看不见的阻力→不了解就继续后悔,连续反问+机制命名,把人人羞于承认的动作细节变成外部机制,自责到警觉,刷视频、拖延、通宵后的后悔,身体动作细节、反差、隐形敌人,知道阻力是什么以及如何抵抗,P2：命名『阻力』并说明不了解的代价，随后进入书籍与方法,你明明知道{重要事}，但为什么{身体动作}停不下来？不是你不知道道理，而是{机制}在推你。,先列『刷过却不记得』证据，再把罪责由人格移到阻力机制,拖延不是简单懒惰，而是阻力会阻止重要创作与行动,刷屏现象→阻力定义→代价预演→抵抗策略,羞耻→被解释→对抗感,高密度短问句开场，后接递进说明,开头连问，正文按阻力表现和动作分段,『答案就是』『所以』将问题闭合为机制,前段三次反问用于递进，不为喊口号,提醒阻力长期存在并邀请行动,用自己的方式扛住阻力,用可观察动作替代笼统『你很拖延』,omel.material.05_The_War_of,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头与机制命名
6,06_不要相信你的每一个念,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/06_不要相信你的每一个念.md,内耗与念头,过度相信自己的想法导致焦虑,反常识信念翻转,不要随便相信别人/只能信自己,童年信条→它其实错了→过度相信脑内想法造成痛苦→立刻替观众提出反驳→承诺秘诀,熟悉信条反转+替观众发问,先撞击默认信念，再替观众说出最强疑问,内耗到松弛,想法反复、焦虑、无法看清现实,公认常识反转、反问预埋、深度收益,与念头拉开距离、减少内耗,P2：『别急』后预告不痛苦/深度放松，P3进入书籍,{从小相信的信条}可能错了；你的{痛苦}来自过度相信{内部对象}；如果你问{反驳}，别急，后文会解释。,用反问把反对意见留在脚本内部，避免观众直接划走,念头不是事实；看见念头才能减轻痛苦,信念翻转→疑问代言→概念解释→练习,困惑→好奇→被允许怀疑→松弛,短句冲突后快速问答,开头一段完成冲突和承诺，正文再分概念/练习,『那如果』『别急』是核心转场,不依赖排比，以问答承接,鼓励持续练习和自我观察,暂停把每个念头当事实,用『反驳代言』提升反常识的可接受度,omel.material.06_不要相信你的每一个念,cases_people、examples_scenes、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头与反驳；P002承诺
7,07_人性的弱点_#人性的,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/07_人性的弱点_#人性的.md,人际交往与社交尴尬,聪明却在聊天时大脑空白,感官照顾+羞耻场景,眼睛都累坏了,先关照刷屏疲劳→承诺只听声音也能学→具体复现面对喜欢的人/领导时身体僵住→卸责→交际能力重要,场景化共情+解除羞耻,以手、喉咙等身体细节让社恐观众立刻照见自己,尴尬到被理解,面对喜欢的人、老师、领导时无所适从,身体细节、关系高压场景、不是你的错,获得社交原则和可说的话,P2：明确『这绝对不是你的错』，P3导入人际交往能力与书籍,{疲劳动作}先停一下；你是否也在{高压关系场景}中{身体反应}？这不全是你的错，后文给{能力}。,将情绪照顾自然过渡到社交困境，避免直接硬推书,交际能力可通过理解人性与具体表达习得,尴尬场景→非人格化解释→书籍原则→互动动作,疲惫→羞耻被接住→期待→可练习感,口语化长场景，细节名词密集,一段先构造场景，下一段再解释原因,『特别是』『毕竟』『同时』把关系和原因接上,场景列举服务代入，不做宏大煽动,推荐原书并鼓励实践,练习聊天、人际互动,从身体反应而非『提升沟通』进入，具体度很高,omel.material.07_人性的弱点_-人性的,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002解除自责
8,08_从0到1_#提升自己,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/08_从0到1_#提升自己.md,白手起家与财富起步,没有家庭资源、觉得阶层难跨越,身份排除+不公平现实,富裕家庭者不必看,富裕家庭已有路→视频给白手起家者→富者愈富、穷者愈穷→最难的是从0到1→跨过后更容易,资格筛选+阶层反差,明说『不是给你做的』，把目标观众身份抬高,无力到被看见,资源少、没有现成成功道路,身份对照、难度倍数、阶段命名,掌握从0到1的关键过程,P2：解释财富阶段差异，P3书籍出场,如果你已有{资源}，这期不必看；它写给{缺资源但想改变的人}，因为{起步阶段}最难。,先排除资源充足者，再让目标群体获得专属感和希望,财富增长的关键在于完成从无到有的创造,阶层/资源差异→0到1难点→创业与垄断原则→行动,不公平感→被代表→希望→进攻感,强短判断后再解释难度,阶段判断→书籍→多个商业原则,『因为』『而今天』把矛盾引向主题,对比排比用于呈现资源差异,回到创造和主动性,学习并寻找0到1机会,用身份筛选但不贬低另一类人,omel.material.08_从0到1_-提升自己,cases_people、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002阶段解释
9,09_低谷期_#提高认知,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/09_低谷期_#提高认知.md,低谷与决策体系,做重要选择时没有判断标准,偷窥式共情+内容反差,我知道你正躺床上刷视频,躺床刷视频→看到横版知识内容想划走→花时间听完可学关键认知→无广告→决策靠猜的人将脱颖而出,场景窥视+反预期承诺,像在描述观看当下，降低陌生感；用无广告消除防御,戒备到信任,躺床刷视频、不想动脑、重大选择迷茫,观看场景精准、内容成本承诺、能力收益,得到决策思想体系,P2：书薄但密度高，P3讲The Dip并兑现决策意义,我知道你现在正{即时场景}，也知道你看到{内容形式}想划走；但花{成本}听完会得到{具体能力}。,先承认内容的『不爽』，再用低商业防御和高收益换取注意,低谷与放弃的判断需要一套系统，而非靠运气,观看阻力→决策焦虑→书籍模型→何时坚持/何时退出,懒散→被看见→信任→清醒,前两句贴近口语，随后抬高收益,开头一个长段，正文以概念和案例分段,『但相信我』『如果你正好』承担反转,并列多用于界定适用人群,回收为理性决策,审视正在坚持的事,把观看时刻写进钩子，适配强平台场景,omel.material.09_低谷期_-提高认知,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002书籍密度
10,10_掌控时间_#提升自己,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/oMel/02_转写文本/01_最终完整文案/10_掌控时间_#提升自己.md,手机设置与拖延,时间不够、刷手机、缺乏自控,行动门槛+排除筛选,只有一部手机可先划走,设备限制→需要电脑/iPad/第二手机→能获得最大回报→边看边改设置→几个设置改变拖延→再接时间不够共鸣,条件句+即时参与承诺,把看视频从被动听课改成实时操作，并用设备门槛提高认真度,无力到掌控,只有手机、游戏刷视频、时间不足,具体工具条件、即时回报、反常识小改动,立即改变手机设置并减少拖延,P2：明确边看边实践，P3用『说出来你可能不信』强调设置差异,如果你现在只有{工具限制}，可以先离开；要获得{最大回报}，请准备{工具}，我会带你立即做{操作}。,设备筛选后立即给可做动作，减少承诺空转,环境和设置比意志力更能塑造时间使用,设备准备→设置调整→行为摩擦→时间管理,无力→好奇→立即掌控,条件短句、收益短句、说明句递进,开头先操作准备，正文每项设置配一个原因,『原因就是』『说出来你可能不信』制造下一拍,设置清单有功能分工,鼓励继续实践,立即准备第二设备并修改设置,最强点是把『承诺』改为『现在就一起做』,omel.material.10_掌控时间_-提升自己,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。,P001开头；P002即时操作承诺
