"集数","作品ID","链接","发布时间","时长秒","点赞","评论","收藏","分享","收藏点赞比","分享点赞比","表现分层","标题描述","章节摘要","章节结构","数据来源","限制说明"
"1","7641876208291958051","https://www.douyin.com/video/7641876208291958051","2026-05-20 15:42:42","289.8","1952","20","951","337","48.72","17.26","D_3000以下","把有限的钱和时间要花在正确的人和事上 #社交 #人生必修课 #认知思维","社交投资思维是穷人和富人的分水岭，要学会关系定价权，选择能互相增值的人作为朋友。避免向下兼容式社交，把时间和精力投资在关键人物或自己身上，实现社交投资的复利效应。","引言：｜向下兼容式社交：向下兼容式社交是在缴纳高昂的情绪维稳费，会消耗大脑运转总容量，影响深度思考和事业发展。｜关系定价权：真正的顶级高手拥有关系定价权，他们会选择能互相增值的人作为朋友。｜弱者思维：弱者思维表现为在不重要的人身上投入过多，而在重要的人身上却很吝啬。｜社交投资的复利效应：社交投资的复利效应是指数级的，对所有人都好等于对所有人都不够好。｜价值冷冻仓：给自己的社交圈装上价值冷冻仓，把时间和精力投资在关键人物或自己身上。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"2","7641622542096043299","https://www.douyin.com/video/7641622542096043299","2026-05-19 23:18:33","293.5","734","8","348","101","47.41","13.76","D_3000以下","大脑不追求幸福，只追求控制感 #思考 #内耗焦虑 #认知思维","大脑更追求控制感而非幸福，左脑的防御机制导致人们焦虑和疲惫。实际上，情绪的生理寿命只有90秒，我们可以通过激活右脑的全息感知区，夺回心智切换权，感受当下的纯粹喜悦，而不是被过去和未来的恐惧所束缚。","引言：大脑追求控制感，不在乎幸福，导致人们在追求和恐惧失去之间疲于奔命。｜左脑的防御机制：左脑逻辑回路是防御型司令部，会让人疲惫，因为它会把过去的失败和未来的担忧放大。｜情绪的生理寿命：情绪的生理寿命只有90秒，剩下的时间是自己在脑子里重播，导致痛苦延长。｜右脑的全息感知区：右脑的全息感知区能让人体验到最高级的幸福，即与万事万物相连的生命力。｜夺回心智切换权：夺回心智切换权，随时觉察自己的状态，调用右脑的全息感知区，感受当下。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"3","7640860487919389978","https://www.douyin.com/video/7640860487919389978","2026-05-17 22:01:13","310.3","665","9","285","84","42.86","12.63","D_3000以下","为什么你的计划总是一拖再拖？因为你把决定权交给了情绪！ #认知觉醒 #交付 #行动力 #心理学  #思维认知","底线交付力是成功的关键，即在情绪低落、状态不佳时仍能完成任务。自我损耗会消耗意志力和大脑能量，导致拖延。曾国藩的“结硬寨，打呆仗”方法强调机械化执行，屏蔽不确定性。普通人应避免逃避现实，拿结果说话，用执行力拿回属于自己的结果。","引言：｜底线交付力：底线交付力是指在情绪崩溃、状态极差时，仍能交出合格结果。｜自我损耗：自我损耗是指人的意志力和大脑能量有限，容易在精神内耗中被消耗殆尽。｜曾国藩的智慧：曾国藩信奉“结硬寨，打呆仗”，强调机械化执行，屏蔽不确定性。｜对普通人的启示：普通人应避免逃避现实，心慈手软是奢侈品，拿结果说话才是底气。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"4","7640705928941161743","https://www.douyin.com/video/7640705928941161743","2026-05-17 12:01:29","308.6","44258","2059","23738","14492","53.64","32.74","B_1万-5万","反向的人性博弈才是取胜之道 ","华尔街顶级玩家强调心态在炒股中的重要性，他们认为心态是一套反人性防御机制。成功的交易者需要具备定力、谦卑和控制情绪的能力，敢于与时间做朋友，忍受长期孤独，只在有绝对把握时出手。这是一场终身博弈，需要克服人性中的急躁、幻想和自以为是。","引言：｜散户的急躁心态：散户在交易中容易急躁，追求及时反馈的刺激感。｜定力的重要性：真正成功的投资者需要具备定力，耐心等待市场犯错。｜避免达克效应：避免达克效应，保持谦卑，只在有把握时出手。｜控制情绪：控制情绪，关闭感性边缘系统，交由理性前额叶皮层接管。｜逆向的自我杀伐：成功的交易员需要逆向自我杀伐，克服人性弱点。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"5","7640112676718333190","https://www.douyin.com/video/7640112676718333190","2026-05-15 21:39:23","247.6","666","10","274","113","41.14","16.97","D_3000以下","月营业额 10w 的小店，实际能赚到的会「让人瞠目结舌」 #开店 #实体行业 #真相 #认知思维","月营业额10万的小店实际利润可能并不高，因为房东和外卖平台会分走很大一部分。创业者应计算租金占比和综合负重，确保盈利空间。避免盲目追求高营业额，要关注实际利润，以实现创业目标。","引言：｜利润截胡陷阱：很多初次创业的人只看营业额，实际上是在为房东和平台打工。｜房东：房东会在生意好时提高租金，吸走增量价值。｜外卖平台：外卖平台抽佣高，导致综合成本高，亏钱速度快。｜避坑建议：计算租金占比和综合负重，避免成为别人的筹码。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"6","7639726333802679590","https://www.douyin.com/video/7639726333802679590","2026-05-14 20:40:15","348.9","36267","1090","9351","14839","25.78","40.92","B_1万-5万","《以日为鉴》这本书，真心建议大家认真看看 #考公 #认知思维 #书本里的知识","日本的历史表明，当所有人都追求绝对稳定时，可能会陷入危险。羊群安全错觉导致人们盲目追求体制内工作，但随着经济变化，体制内工作不再具有吸引力。学历通胀反噬使得高学历者就业困难。破局方法是跳出存量市场，寻找增量，如出海新兴市场。","引言：｜羊群安全错觉：人类面对未知焦虑时，会认为人多的地方更安全，形成羊群安全错觉。｜铁饭碗的真相：经济繁荣时，体制内工资低，被鄙视；经济泡沫破裂后，体制内成为避风港，吸引大量年轻人，但很快失去吸引力。｜学历通胀反噬：学历通胀反噬，高学历者就业难，成为主流职场门外汉。｜破局方法：跳出存量市场，寻找增量，如出海新兴市场。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"7","7639313715996691762","https://www.douyin.com/video/7639313715996691762","2026-05-13 17:58:55","278.5","70407","2074","15546","28361","22.08","40.28","A_5万-10万","财富不看智商，只看这一件事 #财富 #财富自由 #思维认知 #个人成长","从人类肉体对物质享受的吸收能力有限这一角度出发，揭示了高消费带来的快乐差距不大的真相。同时，引入了享乐跑步机效应，指出人们往往为了维持高消费而陷入压力和焦虑。最后，强调了绝对生活主权的重要性，即拥有足够的现金储备和掌控自己的时间，而不是盲目追求更高的物质享受。","引言：｜物质享受的极限：人类肉体对物质享受的吸收能力有限，高消费带来的快乐差距不大。｜享乐跑步机效应：享乐跑步机效应导致人们不断追求更高消费，以维持兴奋感，但实际上是一种惩罚。｜绝对生活主权：绝对生活主权意味着无债一身轻，拥有足够的现金储备，能够掌控自己的时间。｜结语：避免消费升级陷阱，珍惜健康和家庭时光，掌控自己的时间，成为真正的赢家。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"8","7638975546461785384","https://www.douyin.com/video/7638975546461785384","2026-05-12 20:06:40","293.4","4425","36","1802","470","40.72","10.62","C_3000-1万","什么是弱者着相，强者破相，智者无相？ #认知觉醒 #道家 #人生智慧 #开悟 #天道","弱者着相、强者破相、智者无相是人生的三个境界。弱者把表象当成本质，被情绪左右；强者看透表象背后的规律，追求核心目标；智者则超越输赢和规律，达到本自具足的圆满状态。人生是一个不断破相、抵达无相的过程，放下执念，守住本心，才能获得更大的自由。","引言：｜弱者着相：把表象当成本质，把执念当成底线，把外界的评价当成自我的标尺，最终沦为情绪的奴隶。｜强者破相：看透表象背后的客观规律，并且为我所用，不困于当下的情绪，不至于眼前的得失，永远只聚焦在核心目标上。｜智者无相：连我要赢，我要遵守规律的那个念头，都彻底消散了，心里连一根钩子都没有，世间的繁杂自然也就挂不住你。｜结语：人生是一个不断破相，最终抵达无相的过程，放下执念，守住本心，获得自由。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"9","7638664477021326643","https://www.douyin.com/video/7638664477021326643","2026-05-11 23:59:37","285.1","2545","114","1033","167","40.59","6.56","D_3000以下","天赋是可以练出来的，尝试用左手做你擅长的所有事 #认知觉醒 #人生感悟 #本质 #经验分享","天赋并非天生，而是可以通过训练培养的。尝试用左手做你擅长的事情，如吃饭、刷牙等，这是一种神经逆练，可以帮助你打破天赋迷信，拓宽认知边界。通过这种方法，你可以激发大脑的潜能，提高思维灵活性，从而在面对挑战时更有信心和能力。","引言：｜天赋的真相：很多人认为自己没天赋是因为大脑在偷懒，控制右手的左半脑经过高频使用，神经元之间的连接已经变成了一条8车道的高速公路，而控制左手的右半脑则是一片长满荒草的无人区。｜神经逆练：神经逆练是故意制造阻力，强行征用最不习惯的感官和肢体，去倒逼大脑开辟新的通路。｜认知跨界溢出：神经逆练带来的最可怕的红利叫做认知跨界溢出，改变的不仅是手的灵活度，还有整个思维路径。｜打破天赋论：99%的人被天赋论深度洗脑，大脑天生是趋利避害的节能机器，会释放出焦虑烦躁的情绪，试图把你拉回舒适区。｜结语：从今天开始把一切理所当然的动作反过来，拥抱不协调，享受不适感，你会发现你的极限远比你想象的要深邃的多。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"10","7638280761396710682","https://www.douyin.com/video/7638280761396710682","2026-05-10 23:10:36","260","153","6","57","75","37.25","49.02","D_3000以下","被刻意隐藏的审美真相，全景式病态陷阱 #女性 #女性成长 #认知觉醒 #思维认知","女性审美被资本和消费主义操纵，追求病态的瘦和弱，以牺牲健康和生命力为代价。这种现象被称为生命力质押，女性应执行审美脱钩程序，追求健康、有生命力的美，而非迎合他人的凝视。","引言：教科书认为缠足是为了把女人锁在家里，依附男人。｜缠足的真相：缠足是对女性身体的物理私有化改造，目的是把女人驯化成工具。｜生命力质押：少女感身材以疯狂损耗基础生命力为代价，是生命力质押。｜全景式监狱：女孩追求的是被评价体系接纳，这是全景式监狱。｜审美脱钩：执行审美脱钩程序，问自己是否会为了取悦自己忍受痛苦。｜结语：真正高级的美是健康、有生命力，不浪费精力在迎合别人的凝视上。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"11","7637924826572705065","https://www.douyin.com/video/7637924826572705065","2026-05-10 00:09:36","247.9","353","5","126","62","35.69","17.56","D_3000以下","赚钱的模式，在这个世界上只有四种，你是哪一种 #思维认知 #人性弱点 #增加认知",,"：","抖音公开合集接口","平台未返回章节摘要，需逐字稿"
"12","7637487731915918598","https://www.douyin.com/video/7637487731915918598","2026-05-08 19:53:12","244.7","195","4","83","82","42.56","42.05","D_3000以下","富裕家庭向下托举 贫穷家庭向上回报 无德养愚孝 愚孝出恶老#思维认知 #人性大实话 #共鸣","普通家庭应以下一代为核心经营家庭，避免家庭资源逆向消耗和话语权错位。真正的孝道是为老人提供更好的生活，而非顺从他们的落后观念。普通家庭要向上突破，需投资下一代教育和中间力量认知破圈，摆脱旧道德绑架。","引言：普通家庭应以年轻一代为核心经营家庭，而非以老人为核心。｜家庭资源的逆向消耗：普通家庭资源有限，满足老人执念会导致家庭资源逆向消耗。｜话语权的极度错位：老人认知过时，话语权错位会扼杀年轻人的前途。｜代际内耗：以老人为核心的运转模式会引发代际内耗，导致家庭陷入泥潭。｜真正的孝道：孝顺不等于顺从，真正的孝道是为老人提供更好的生活。｜结语：普通家庭应投资下一代教育和中间力量认知破圈，摆脱旧道德绑架。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
