编号,入库日期,来源账号,来源视频链接,结构名称,适用选题,开头模块,展开模块,论证模块,转折模块,结尾模块,CTA/承接,节奏特点,可复用脚本骨架,备注

IFSS-001,2026-07-12,如果说,https://www.douyin.com/video/7648992848871722259,误解机制重构行动,内耗选择注意力与成长,大众共识加反向结论,放入高频生活镜像,引入一个可靠机制并用两个场景验证,替观众提出最强反对意见后重新定义,留下一个判断问题和新身份,引导收藏判断问题或按问题行动,快开头稳中段慢结尾,误解→悖论→机制→场景→反例→反驳→动作→升华,成熟期通用主结构
IFSS-002,2026-07-12,如果说,https://www.douyin.com/video/7638975546461785384,三级身份阶梯,情绪关系决策与能力阶段,抛出三层身份或境界,用同一场景展示第一层和第二层,解释第二层为什么有效,指出第二层仍有局限并引出第三层,用排比完成自由或本心升华,让观众判断自己处于哪一阶段,层级清晰每层一个短句重锤,第一层本能→第二层抽离→第二层局限→第三层松弛→排比收束,优先用阶段替代强弱羞辱
IFSS-003,2026-07-12,如果说,https://www.douyin.com/video/7655286121772993844,经典概念现代翻译,传统智慧人物观点和书籍,一句古语或经典概念加现实悖论,解释字面与大众误读,职场家庭或个人成长场景逐个翻译,补一个现代机制和边界条件,回扣原句并给一个低门槛动作,引导观众用一句问题自检,文化重量与生活口语交替,经典→误读→现代场景→机制→边界→动作→回扣,引文和出处必须独立核验
IFSS-004,2026-07-12,如果说,https://www.douyin.com/video/7639313715996691762,四面证据重新定义,财富消费效率与生活方式,具体数字或状态对比,连续三个日常体验场景,机制解释加反方极端案例,揭开表面光鲜背后的成本,把目标重新命名为主权稳定选择或时间,给一个当下可执行的小动作,前段冲突中段算账后段抚平,数字场景→体验对照→机制→隐藏成本→重新定义→宁静画面,所有财务数字单独核验
IFSS-005,2026-07-12,如果说,https://www.douyin.com/video/7653052955993656628,无反馈稳态模型,创作学习长期项目与冷启动,直接说出没有信号时的痛苦,历史或真实人物进入同类黑箱期,解释为什么大脑把无反馈误判为无价值,区分真的走偏和反馈延迟,给检查回路与保持节奏的双条件,让观众带回发布数据做周期复盘,情绪先下沉再逐步稳定,痛苦镜像→人物案例→机制→两种诊断→稳态动作→等待信号,不能承诺坚持必然胜利
OMES-001,2026-07-14,oMel,本地SRT（作品链接未提供）,理想动作到机制追凶,专注拖延自控与习惯,理想生活动作清单加第一步失败,让观众承认道理都懂却卡在最低门槛,把失败从人格问题解释为注意力或环境机制,引入书籍原则并给一项环境动作,回到持续实践与减少自责,邀请当天调整一个环境条件,短动作开头后长解释再短结论,理想动作→第一步失败→卸责→机制→场景→环境动作,不照搬原动作清单或未核验注意力结论
OMES-002,2026-07-14,oMel,本地SRT（作品链接未提供）,身份修复到思维练习,认知决策表达与自我怀疑,你并不…只是…的能力缺口,呈现粗心后悔或判断失误的具体表现,用错误模式与正确模式对照解释能力,让观众完成一个自我提问或小练习,收在愿意验证和更新观点,邀请记录一个旧判断并重做验证,两句短判断后进入模型对照,人格卸责→能力命名→模式对照→练习→更新,不把人格标签换成新标签；权威信息需核验
OMES-003,2026-07-14,oMel,本地SRT（作品链接未提供）,真实条件到编号知识地图,工具教学长内容与环境设计,说明真实前置条件并承诺即时操作,让观众准备工具或完成设置,解释每一项设置为什么降低摩擦,按编号给出独立步骤和场景,总结为当天可做的调整,引导边看边完成一个动作,开头快且信息密正文按编号换气,条件筛选→工具准备→即时操作→原理→编号步骤→总结,只在确有实时操作时使用不得虚设条件
OMES-004,2026-07-14,oMel,本地SRT（作品链接未提供）,日常账本到长期框架,赚钱意识财富观职业与人生选择,月度账本或未来代价的反直觉开头,放大错误直觉和真实代价,用定义例子或故事建立框架,从短期收入/面子转向余量选择权和长期行动,回到可持续习惯和边界,引导记录一项现金流或时间支出,前段重锤中段解释后段稳定,日常症状→错误直觉→隐藏机制→框架定义→长期动作,不构成投资建议；数字人物和金融结论必须核验
