编号,入库日期,来源账号,来源视频链接,来源视频标题,原始选题,目标人群,用户痛点,核心矛盾,核心观点,内容方向,可迁移角度,我的改写选题,适合账号线,优先级,状态,备注

IFST-001,2026-07-12,如果说,https://www.douyin.com/video/7642220065483492643,为什么说只要开始输出人生效率就能暴涨十倍,输出倒逼输入,想成长但长期只收藏不输出的人,学了很多却无法形成自己的能力,消费知识与生产知识的差别,真正改变认知的不是继续输入而是承担一次公开交付,认知成长,把输出复利迁移到认知表达,为什么你收藏了100条认知内容还是没有改变因为你一直在输入却从未交付,认知成长与内容输出,高,待创作,优先调用成熟期温和论证并加入用户真实发布经历
IFST-002,2026-07-12,如果说,https://www.douyin.com/video/7648992848871722259,人生最大的陷阱不是无路可走而是见路就走,反盲从路径,在各种成长方法之间频繁换方向的人,每种方法都想试结果没有积累,热门方法与自身条件不匹配,真正的选择不是找最热的方法而是找与你处境匹配的因,长期主义,把见路不走迁移到普通人自我改变,普通人改变自己最大的陷阱不是没方法而是每个方法只坚持三天,认知成长,高,待创作,需要加入用户自己的成长经历和筛选标准
IFST-003,2026-07-12,如果说,https://www.douyin.com/video/7653052955993656628,如何在没有正反馈时坚持,反馈延迟,刚开始做内容但数据普通的人,发布后播放和涨粉不稳定,行动价值与短期信号脱钩,没有反馈不等于系统无效关键是保持回路并检查方向,内容成长,把稳健控制迁移到账号冷启动,第一条视频只有两千播放你最该做的不是怀疑自己而是保护住内容回路,认知类账号,高,待创作,可直接结合用户第一条视频数据但不夸大
IFST-004,2026-07-12,如果说,https://www.douyin.com/video/7639313715996691762,真正财富是生活主权,消费与自由重定义,收入焦虑并希望改变生活的普通人,把收入数字和物质配置当成终点,拥有更多与掌控时间的冲突,赚钱的意义不是证明自己而是增加选择权,赚钱认知与生活主权,保留重新定义结构替换原资产数字,普通人拼命赚钱真正想买回的不是体面而是对时间的决定权,赚钱认知,高,待创作,财务主张需独立核验
IFST-005,2026-07-12,如果说,https://www.douyin.com/video/7648608700575288619,为什么电脑还没成为内部操作系统,个人认知系统,知识零散且每次遇到问题都要重新开始的人,收藏很多内容但没有统一知识结构,知道很多与形成自己的认知体系的区别,知识只有能持续沉淀调用和更新才会成为能力,知识体系,迁移到个人认知资料库,你不是缺知识你缺的是一个能随时调用过去经验的个人认知系统,认知成长与知识体系,高,待创作,适合展示用户当前内容资产库
IFST-006,2026-07-12,如果说,https://www.douyin.com/video/7653052955993656628,稳定节奏本身就是能力,延迟复利,容易因数据波动打乱计划的创作者,每次低数据都改方向,持续迭代与情绪追涨杀跌的冲突,先稳定生产系统再用周期数据校正,创作者成长,使用不是更拼而是更稳的反转,做自媒体最危险的不是爆款少而是每条数据都能改变你的方向,认知类账号,高,待创作,加入复盘周期与可验证指标
IFST-007,2026-07-12,如果说,https://www.douyin.com/video/7650451125698710811,战略性缩水,一人公司减法,独立创业者和自由职业者,任务太多注意力碎片化,做得多与形成核心资产的冲突,主动缩小战线才能把复利集中在少数关键能力上,一人公司,迁移成熟期不争与早期商业算账,一人公司真正的扩张不是增加项目而是砍掉不能复利的忙碌,一人公司与产品,高,待创作,需要结合真实项目清单
IFST-008,2026-07-12,如果说,https://www.douyin.com/video/7651567388554431763,重复到极致就是天赋,技能复利,总怀疑自己没天赋的普通人,频繁换方法无法跨过笨拙期,新鲜感与熟练度的冲突,天赋感往往是高质量重复后的结果,自我改变,迁移到口播写作和稳定表达训练,你以为别人表达清楚是因为天生聪明其实只是他把同一种表达训练重复了100次,认知表达与自我改变,中,待创作,神经科学解释需谨慎
IFST-009,2026-07-12,如果说,https://www.douyin.com/video/7655286121772993844,大象无形与不显摆,能力内化,容易沉迷展示读书量和观点数量的人,看起来懂很多却无法做出改变,外在展示与内在掌控的冲突,真正属于你的认知不需要靠金句数量证明而会自然出现在选择和行动里,认知内化,传统概念翻译到个人成长,真正有认知的人往往不急着证明自己他只是把每一次选择做得更清醒,认知成长,中,待创作,避免用外在行为武断诊断他人
