序号,视频标识,源文案路径,标题主题,选题痛点,钩子类别,开头功能,前30秒承接,核心主张,论证链,情绪路线,语言节奏,反转与排比,结尾功能,行动CTA,可迁移能力,证据定位,素材记录ID,素材类型摘要,表层素材调用提示
1,01_三种改变大脑的方式,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/01_三种改变大脑的方式.md,大脑可塑性与变聪明,把能力当成天赋上限而焦虑,结果承诺+双问题,先给强收益再抛出行为控制大脑的选择题,教授背书→开窍经历→三类变化预告,行为持续塑造大脑且可通过训练增强能力,反常识主张→三类机制→学习和技能场景→习惯落点,被承诺→好奇→获得可控感→愿意行动,口语长解释中穿插短问答和重复定义,不是大脑决定你而是行为塑造你；化学/结构/功能三分,把不适解释为改变必经阶段,从一个需强迫执行的小习惯开始,用科学概念翻译日常行为并以分层目录降低理解门槛,P1-P35：承诺与问题→三分框架→训练场景→习惯收束,xiaowulang.material.01_三种改变大脑的方式,cases_people、concepts_theories、examples_scenes、methods_actions、other_surface_material、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
2,02_为什么高智商的人往往,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/02_为什么高智商的人往往.md,高智商困境与机会行动,聪明却不顺利造成自我怀疑,身份诊断+反常识比较,用比你笨的人更成功刺破智力优越感,观众自证→三部分地图→研究与实验预告,成功由能力与机会共同决定；聪明人需提升出手与承接机会能力,不公平观察→模拟研究→幸运机制→聪明人怯战→斯多葛式行动,委屈→被解释→风险感→被鼓动出手,连续设问、英文研究名、口语翻译和阶段小结交替,幸运平庸者可能胜过不幸天才；从聪明转向敢试,用可控技能替代对运气的抱怨并鼓励低成本试错,给自己设计一项本周能完成的低成本尝试,先让观众承认刺痛事实再提供可操作的世界观,P1-P36：比较钩子→研究模型→聪明人困境→行动收束,xiaowulang.material.02_为什么高智商的人往往,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
3,03_反PUA心理学知识,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/03_反PUA心理学知识.md,关系操控与心理边界,关系里被牵动却说不清机制,命令式警报+禁忌承诺,先要求切断关系再声明教反操控,自测问题→四概念目录→承诺结尾有关键话,识别操控机制后把技巧转为自我成长而非控制他人,强警报→实验讲解→关系场景→道德翻转→自我训练,恐惧→识别感→警惕→道德优越与掌控感,高密度口语、反复确认、概念名与通俗比喻轮换,忽冷忽热/合理化/渐进控制/峰终记忆四组并列；坏用法转好用法,把警惕转成自我管理与双赢关系判断,识别一个关系中的不稳定奖惩并设边界,用多个概念做连续知识付费式推进并在末段完成价值观翻转,P1-P56：警报→四概念→关系案例→自我用途→结尾宣言,xiaowulang.material.03_反PUA心理学知识,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
4,04_告别习得性无助！获的,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/04_告别习得性无助！获的.md,习得性无助与动力重建,长期失败后放弃尝试,态度二选一+症状命名,用自嘲式格言和自测把观众拉进问题,两问互动→无助感定义→拆分路径预告,动力不是天生；可用目标、反馈和自尊重新建立,失败累积→无助解释→拆分原因→多项重启动作→自我标准收束,无力→被理解→被激将→恢复尊严,强口语感、问题后立即自答、方法清单推进,世上无难事的两种态度对照；有动力后还要有自尊,把一次小完成当作重新信任自己的证据,建立一个当天可完成且要过自己这一关的标准,症状命名+多方法清单+自尊收口,P1-P53：态度问题→无助定义→方法拆解→自尊结尾,xiaowulang.material.04_告别习得性无助-获的,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
5,05_如何在一天内改变人生,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/05_如何在一天内改变人生.md,人生停滞与启动改变,对现状不满却持续假装满意,夸张结果承诺+刺痛自测,承诺一天改变一生并以嫉妒测试拆穿自我欺骗,外部文章背书→满意度诊断→全天思考任务预告,真正的改变先来自对现状的诚实厌恶和自主决定,假装满意→嫉妒检测→现实清单→触发厌恶→独处思考→主动行动,麻木→刺痛→厌恶→清醒→行动冲动,长篇讲述配合短句断喝；频繁让观众停下来写,满意/不满意/假装满意三级；知与行对照,允许内容不讨喜以强化清醒者身份,留出一天写下不满、代价和真正想要的生活,把抽象改变设计成一段有情绪门槛的自我盘点仪式,P1-P120：强承诺→嫉妒检测→全天盘点→触发行动→不讨喜收束,xiaowulang.material.05_如何在一天内改变人生,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
6,06_如何在向上社交中不卑,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/06_如何在向上社交中不卑.md,向上社交时自卑怯场,面对高位者丧失平等感,现象提问+反直觉归因,先描绘松弛的高位社交者再否定只靠心力的解释,四方法承诺→价值互换原则,社交不是乞求机会而是平等的价值交换,怯场现象→认知重命名→价值类型拆开→平等边界→个人佐证,羡慕→释然→底气,短段论断和重复的价值互换句式,高位/低位二分被改写为彼此有价值；情绪价值/利益价值并列,把对方是否尊重平等当作筛选标准,进入社交前列出自己能提供的一项价值,以高位焦虑切入并给可内化的平等心态模型,P1-P16：现象→认知翻转→价值拆分→平等结论,xiaowulang.material.06_如何在向上社交中不卑,cases_people、concepts_theories、examples_scenes、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
7,07_如何应对生命中的痛苦,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/07_如何应对生命中的痛苦.md,痛苦焦虑与欲望失控,夜间反刍且无法解释痛苦,欲望反问+共感场景,先问想要是否真是自己想要再给失眠画面,纳瓦尔身份与多板块哲思预告,痛苦往往来自失序的欲望；减少非必要追逐可获得自由,失眠共感→人物权威→欲望/幸福/秩序原则→生活选择→自由回扣,痛苦→被看见→哲学安定→自由感,人物故事、概念解释、反问和简短总结循环,向内求/向外求的悖论；追求与不追求双向并列,用一个欲望筛选问题收束,问自己当前最痛苦的追逐是否真是自己想要的,在情绪题中用人物思想提供更高视角而非只给技巧,P1-P58：痛苦场景→人物引入→原则展开→不追求→自由收束,xiaowulang.material.07_如何应对生命中的痛苦,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
8,08_如何消除内耗根源_#,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/08_如何消除内耗根源_#.md,现实焦虑理想落差与他人评价,把不同来源的内耗混为一种,问题盘点+三类分类,先声明来自私信需求再让观众对号入座,三种内耗列举→见招拆招承诺,内耗要先辨别来源再用对应视角处理,现实不确定→理想现实落差→他人目光→分别拆招→他人并不在意的结论,焦虑→分类清楚→放松→自洽,三段平行分类、连续反问和生活化夸张,三种内耗并列；别人眼中的大事/自己眼中的小事反转,以减轻被注视感结束,写下当前内耗属于哪一类再做对应动作,先分类后给解法的诊断式脚本骨架,P1-P31：需求来源→三类诊断→三套视角→他人不在意收束,xiaowulang.material.08_如何消除内耗根源_,cases_people、examples_scenes、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
9,09_如何用简单的道理指导,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/09_如何用简单的道理指导.md,生活复杂和求而不得,信息过载导致无法行动,双反常识问题+生活智慧反差,从越想要越得不到和人生是否复杂连抛两问,六条法则目录→奶奶俗语作为回扣,复杂困境可被少量朴素规律重新理解,欲望悖论→六法则→亲密和生活场景→俗语翻译→回到简单,困惑→惊喜→亲切→通透,概念名与大白话、抽象哲学与家常话交替,哲学书/奶奶一句话反差；多条法则并列,用人人懂却忘了的道理做情绪收束,挑一个复杂困扰改写成一句可执行的常识,用理论名提供权威再用朴素语言降低距离,P1-P71：悖论问题→六法则→日常翻译→家常智慧回扣,xiaowulang.material.09_如何用简单的道理指导,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
10,10_如何通过八步重启人生,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/10_如何通过八步重启人生.md,目标反复失约与自我背叛,计划落空后失去自信,厌恶选择题+人格指控,从讨厌被背叛转到每天都在背叛自己,人物案例→八步目录→第八步陷阱预告,重启靠每天兑现小承诺而不是观看励志内容,背叛他人→背叛自己→八步行动→反看视频陷阱→亲历故事→小目标,羞耻→被激将→获得路径→自信,连续追问、步骤推进、强口语和个人故事压轴,舒适圈内耗/圈外不适对照；看视频进步/实际执行反转,回扣开场并用亲历证明小承诺可积累信心,明天设立三个微小目标并完成,用强道德词重命名拖延再以步骤清单降落到行为,P1-P59：背叛钩子→人物与八步→执行陷阱→亲历故事→小目标,xiaowulang.material.10_如何通过八步重启人生,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
